Name,Play
Brian Andersen,"doubled to right center, RBI; T. Neels scored."
Jack Burke,flied out to rf.
Alexey Stout,flied out to lf.
Matthew Vivona,popped up to 2b.
Robert Murphy,to 2b for W. Bercaw.
Liam Gregory,pinch hit for J. Pistner.
Liam Gregory,walked.
Jack Amirata,pinch hit for A. Hicks.
Liam Gregory,advanced to second on a wild pitch.
Jack Amirata,fouled out to 3b.
Liam Gregory,to lf.
Jack Amirata,to cf.
Bruno Spadafora,to p for A. Wilkie-Vi.
Robert Murphy,singled to left center.
Sean Stites,pinch hit for M. Vivona.
Sean Stites,struck out looking.
Dominick Balsamo,pinch hit for L. Gregory.
Dominick Balsamo,struck out swinging.
Jack Burke,singled to left field.
Jack Burke,stole second.
Matthew Vivona,grounded out to 2b; J. Burke advanced to third.
Jack Pistner,"singled to right field, RBI; J. Burke scored."
Brendan Laqui,hit by pitch; J. Pistner advanced to second.
Adam Hicks,popped up to 1b.
Alexey Stout,struck out looking.
Robert Murphy,grounded out to ss.
Connor Stewart,to p for R. Wootten.
Jack Burke,grounded out to ss.
Matthew Vivona,grounded out to ss.
Jack Pistner,struck out swinging.
Brendan Laqui,grounded out to ss.
Adam Hicks,lined out to lf.
Alexey Stout,grounded out to ss.
Robert Murphy,grounded out to ss.
Jack Burke,flied out to cf.
Matthew Vivona,grounded out to 3b.
Jack Pistner,walked.
Brendan Laqui,reached on a fielder's choice; J. Pistner out at second ss to 2b.
Adam Hicks,reached on a fielder's choice; B. Laqui out at second ss to 2b.
Alexey Stout,singled to left field; A. Hicks advanced to second.
Jack Burke,popped up to ss.
Alexey Stout,to ss.
Matthew Vivona,popped up to 2b.
Jack Pistner,struck out looking.
Brendan Laqui,flied out to rf to right center.
Matt Nichols,walked.
Jack Burke,flied out to cf.
Matthew Vivona,singled to left field; M. Nichols advanced to third.
Jack Pistner,"singled to right field, RBI; M. Vivona advanced to second, advanced to third on an error by rf; M. Nichols scored."
Brendan Laqui,"doubled to left center, 2 RBI; D. Preziuso scored, unearned; J. Pistner scored."
Alexey Stout,"singled to left field, RBI; B. Laqui scored."
Robert Murphy,flied out to cf.
Matt Nichols,grounded out to 3b.
Jack Burke,grounded out to 3b.
Matthew Vivona,fouled out to 1b.
Jack Pistner,singled to center field.
Brendan Laqui,flied out to lf.
Alexey Stout,"homered to left field, RBI."
Robert Murphy,singled to right center.
Matt Nichols,struck out swinging.
Jack Burke,"singled, out at second lf to 2b; R. Murphy advanced to second."
Matthew Vivona,flied out to cf.
Jack Pistner,grounded out to ss.
Brendan Laqui,flied out to lf.
Alexey Stout,"homered, RBI."
Robert Murphy,doubled to center field.
Matt Nichols,struck out swinging.
Jack Burke,"tripled to center field, RBI; R. Murphy scored."
Matthew Vivona,hit by pitch.
Jack Pistner,"singled through the right side, RBI; M. Vivona advanced to third, scored on an error by cf, unearned; J. Burke scored."
Adam Hicks,to lf for J. Burke.
Brendan Laqui,grounded out to ss.
Alexey Stout,grounded out to 3b.
Robert Murphy,grounded out to 2b.
Matt Nichols,walked.
Adam Hicks,flied out to cf.
Matthew Vivona,walked; M. Nichols advanced to second.
Liam Gregory,pinch hit for B. Laqui.
Liam Gregory,flied out to cf.
Tom Chanis,to c for L. Gregory.
Adam Hicks,lined out to 1b.
Tom Chanis,walked.
Adam Hicks,to cf.
Jack Passeck,to p for Francesconi.
Adam Hicks,grounded out to 2b; B. Anderson advanced to third.
Vito Gallello,to p for J. Passeck.
Jack Burke,"singled down the lf line, advanced to second on the throw, RBI; D. Preziuso scored."
Jack Burke,"out at second p to ss, picked off."
Matthew Vivona,singled to pitcher.
Jack Pistner,walked; M. Vivona advanced to second.
Alexey Stout,struck out swinging.
Brendan Laqui,grounded out to 2b.
Robert Murphy,flied out to cf.
Jack Burke,grounded out to p.
Matthew Vivona,walked.
Jack Pistner,walked; M. Vivona advanced to second.
Alexey Stout,"doubled down the lf line, RBI; J. Pistner advanced to third; M. Vivona scored."
Brendan Laqui,grounded out to ss.
Robert Murphy,"doubled to right center, RBI; H. guercio scored."
Robert Murphy,advanced to third on a wild pitch.
Jack Burke,struck out swinging.
Matthew Vivona,flied out to cf.
Jack Pistner,singled through the left side.
Alexey Stout,struck out swinging.
Brendan Laqui,reached on a fielder's choice; T. Neels advanced to second; J. Pistner out at third 3b unassisted.
Robert Murphy,"walked, RBI; H. guercio advanced to second; B. Laqui advanced to third; T. Neels scored."
Jack Burke,struck out swinging.
Matthew Vivona,reached first on a throwing error by 3b.
Matthew Vivona,"out at second p to 1b to ss, caught stealing."
Jack Pistner,struck out swinging.
Bruno Spadafora,to p for M. Levant.
Matt Nichols,to cf for J. Burke.
Alexey Stout,popped up to rf.
Brendan Laqui,lined out to lf.
Robert Murphy,walked.
Matt Nichols,grounded into double play 3b to 2b to 1b; R. Murphy out on the play.
Brendan Trotta,to p for B. Spadafora.
Jack Pistner,to 1b.
Matthew Vivona,popped up to ss.
Jack Pistner,struck out looking.
Alexey Stout,walked.
Jack Burke,hit by pitch.
Matthew Vivona,popped up to ss.
Jack Pistner,grounded out to 2b.
Alexey Stout,walked.
Adam Hicks,flied out to cf.
Robert Murphy,struck out looking.
Jack Burke,struck out swinging.
Matthew Vivona,grounded out to 2b; D. Preziuso advanced to third.
Jack Pistner,grounded out to 1b unassisted.
Alexey Stout,grounded out to ss.
Adam Hicks,grounded out to 2b.
Matt Nichols,to cf for M. Vivona.
Adam Hicks,to rf.
Robert Murphy,singled to left field; B. Anderson advanced to second.
Matt Nichols,struck out swinging.
Adam Hicks,flied out to cf.
Robert Murphy,struck out swinging.
Matt Nichols,flied out to lf.
Brendan Laqui,pinch hit for DelGuercio.
Brendan Laqui,popped up to c.
Adam Hicks,flied out to lf.
Robert Murphy,singled to left field.
Matt Nichols,struck out swinging.
Alexey Stout,struck out swinging.
Jack Pistner,flied out to cf.
Matthew Vivona,grounded out to 3b.
Jack Burke,grounded out to ss.
Brendan Laqui,"struck out swinging, grounded out to c unassisted."
Robert Murphy,struck out looking.
Alexey Stout,struck out looking.
Jack Pistner,doubled to left field.
Jack Pistner,advanced to third on a wild pitch.
Matthew Vivona,struck out swinging.
Jack Passeck,to p for T. Hillson.
Jack Burke,popped up to 2b.
Brendan Laqui,popped up to 2b.
Brett Townsley,to p for J. Passeck.
Robert Murphy,flied out to rf.
Alexey Stout,fouled out to 2b.
Jack Pistner,singled through the right side.
Liam Gregory,pinch hit for M. Vivona.
Liam Gregory,struck out swinging.
Jack Amirata,pinch hit for J. Burke.
Jack Amirata,lined out to 2b.
Alexey Stout,to 3b.
Adam Hicks,to cf for L. Gregory.
Jack Amirata,to rf.
Tyler Lizell,to p for B. Townsley.
Brendan Laqui,hit by pitch.
Matt Nichols,to lf for D. Preziuso.
Jack Pistner,to dh for B. Anderson.
Adam Hicks,flied out to rf.
Adam Hicks,lined out to lf (0-1 F).
Jack Pistner,singled through the left side.
Jack Pistner,"out at second c to 2b, caught stealing."
Matthew Vivona,popped up to 1b (3-2 SBSFBB).
Robert Murphy,singled to right field (1-2 FSBF); B. Anderson advanced to second; K. Clausius advanced to third.
Adam Hicks,"singled to left field, RBI (0-0); D. Preziuso advanced to third; W. Bercaw scored."
Jack Pistner,"reached on a fielder's choice, RBI (0-1 F); A. Hicks out at second 1b to 2b; D. Preziuso scored, unearned."
Matthew Vivona,singled to left field (0-0); J. Pistner advanced to third.
Robert Murphy,walked (3-0 BBBB).
Robert Murphy,advanced to second on a passed ball.
Adam Hicks,doubled to left field (1-2 BFF); D. Preziuso advanced to third.
Jack Pistner,"singled to center field, RBI; A. Hicks advanced to third; D. Preziuso scored."
Matthew Vivona,"singled to shortstop, RBI; J. Pistner advanced to second; A. Hicks scored."
Adam Hicks,to rf.
Matt Nichols,to cf for T. Neels.
Robert Murphy,singled to second base (2-1 SBB).
Adam Hicks,"singled to left field, 2 RBI (2-2 BBFF); D. Preziuso advanced to second; W. Bercaw scored; R. Murphy scored."
Jack Pistner,singled to center field (1-2 SSB); A. Hicks advanced to second; D. Preziuso advanced to third.
Jack Pistner,advanced to second on a wild pitch; A. Hicks advanced to third on a wild pitch; D. Preziuso scored on a wild pitch.
Matthew Vivona,"hit into double play 2b to 1b to 3b, RBI; J. Pistner out on the play; A. Hicks scored."
Matt Nichols,struck out swinging (0-2 SKS).
Liam Gregory,pinch hit for B. Anderson.
Liam Gregory,flied out to lf (0-0).
Robert Murphy,singled to left field (1-2 SBF); K. Clausius advanced to second.
Adam Hicks,"singled to left field, RBI (0-2 SS); W. Bercaw advanced to second; R. Murphy advanced to third; K. Clausius scored."
Jack Amirata,pinch hit for M. Vivona.
Jack Amirata,grounded out to 2b (2-2 BSBSF).
Jack Amirata,to lf.
Ryan Wootten,to p for C. Wong.
Matt Nichols,struck out swinging (3-2 BSBFBS).
Robert Murphy,singled to right field (0-1 F).
Adam Hicks,struck out swinging.
Jack Amirata,grounded out to 3b (0-0); E. Ajewole advanced to second.
Matt Nichols,struck out swinging.
Sean Stites,pinch ran for E. Ajewole.
Jack Amirata,struck out looking (2-2 BSFBFSF).
Adam Hicks,singled to center field (1-0 B).
Jack Pistner,singled to right field (0-0); A. Hicks advanced to second.
Alexey Stout,"tripled to center field, 2 RBI (2-1 BBS); J. Pistner scored; A. Hicks scored."
Matthew Vivona,grounded out to ss (0-2 SS).
Robert Murphy,popped up to 3b (2-2 SSFBB).
Brendan Laqui,struck out swinging (3-2 BBFSBS).
Jack Amirata,reached on an error by ss (1-0 B).
Adam Hicks,grounded into double play 3b to 2b to 1b (0-0); J. Amirata out on the play.
Jack Pistner,singled to right field (0-0).
Alexey Stout,singled to shortstop (2-2 SSBB); J. Pistner advanced to second.
Matthew Vivona,"doubled down the lf line, 2 RBI (2-0 BB); A. Stout scored; J. Pistner scored."
Robert Murphy,walked (3-1 BFBBB).
Brendan Laqui,flied out to cf (0-0).
Bruno Spadafora,to p for C. Stewart.
Jack Amirata,walked (3-1 SBBBB).
Adam Hicks,struck out swinging (2-2 SBBFS).
Jack Pistner,hit by pitch (1-1 SB); J. Amirata advanced to second.
Alexey Stout,struck out swinging (1-2 BSSS).
Matthew Vivona,"singled to right center, RBI (1-2 FBS); J. Pistner advanced to third; J. Amirata scored."
Robert Murphy,walked (3-2 BBBSS); K. Clausius advanced to second; M. Vivona advanced to third.
Brendan Laqui,"singled to second base, RBI (1-1 SB); R. Murphy advanced to second; K. Clausius advanced to third; M. Vivona scored."
Jack Amirata,singled to center field (2-1 SBB).
Adam Hicks,singled through the left side (0-1 S); J. Amirata advanced to second.
Jack Pistner,grounded out to p (0-2 SS); A. Hicks advanced to second; J. Amirata advanced to third.
Alexey Stout,struck out swinging (2-2 BSSBS).
Matthew Vivona,grounded out to c (2-2 BSBF).
Robert Murphy,walked (3-2 BBSSBB).
Robert Murphy,stole second.
Brendan Laqui,grounded out to 3b (3-2 BBSSB).
Connor Stewart,to rf for Gaffney.
Jack Amirata,walked (3-0 BBBB).
Adam Hicks,"doubled down the lf line, RBI (3-1 BBSB); J. Amirata scored."
Jack Pistner,flied out to cf (0-0); A. Hicks advanced to third.
Liam Gregory,pinch hit for A. Stout.
Liam Gregory,struck out swinging (1-2 BSSS).
Matthew Vivona,grounded out to p (0-1 S).
Brendan Trotta,to p for I. Gannaway.
Robert Murphy,doubled to left field (0-2 SS); K. Clausius advanced to third.
Jack Burke,pinch hit for B. Laqui.
Jack Burke,struck out swinging (1-2 SBFFS).
Jack Amirata,grounded out to 2b (3-2 SSFFBBB).
Brian Andersen,to c for J. Burke.
Connor Stewart,flied out to lf (0-1 S).
Adam Hicks,flied out to lf (1-0 B).
Jack Pistner,flied out to cf (0-0).
Adam Hicks,grounded out to 2b (1-0 B).
Jack Pistner,grounded out to 2b (3-2 SSBBB).
Jack Burke,grounded out to p (0-1 S).
Robert Murphy,fouled out to lf (2-2 SFBFB).
Matthew Vivona,reached on a throwing error by ss (0-2 SS).
Matthew Vivona,"out at second c to 2b, caught stealing."
Alexey Stout,struck out swinging (2-2 FBSBS).
Adam Hicks,flied out to rf (1-2 BSS).
Jack Pistner,grounded out to c (2-2 BSBSF).
Jack Burke,singled to shortstop (0-1 F).
Robert Murphy,singled to pitcher (0-0); J. Burke advanced to second.
Matthew Vivona,struck out looking (1-2 SFBS).
Robert Murphy,stole second; J. Burke stole third.
Alexey Stout,"tripled to left field, 2 RBI (1-2 SBS); B. Anderson scored; R. Murphy scored."
Jack Passeck,to p for Francesconi.
Adam Hicks,grounded out to 3b (2-2 SFBFFB).
Jack Pistner,singled up the middle (2-1 BBS).
Jack Burke,walked (3-1 SBBBB).
Robert Murphy,grounded out to ss (1-2 SSB); J. Burke advanced to second.
Matthew Vivona,fouled out to c (0-2 SFF).
Alexey Stout,walked (3-2 SBBBSB); B. Anderson advanced to second.
Brendan Laqui,to c for W. Bercaw.
Brett Townsley,to p for J. Passeck.
Adam Hicks,flied out to cf (0-1 S).
Jack Pistner,out at first 1b to p (2-2 SBFB).
Jack Burke,singled to left field (0-0).
Robert Murphy,flied into double play rf to 1b (2-0 BB); J. Burke out on the play.
Jack Amirata,pinch hit for M. Vivona.
Jack Amirata,fouled out to 3b (1-0 B).
Jack Burke,singled to left center (0-1 S); D. Preziuso advanced to second.
Adam Hicks,reached on an error by 3b (1-0 B); J. Burke advanced to second; D. Preziuso advanced to third.
Jack Pistner,"singled through the right side, 2 RBI (1-2 SFFBFFF); A. Hicks advanced to third; J. Burke scored; D. Preziuso scored."
Alexey Stout,struck out swinging (1-2 SSBS).
Robert Murphy,singled to pitcher (1-0 B); K. Clausius advanced to third.
Robert Murphy,"out at first c to 2b to 1b; K. Clausius scored, unearned."
Brendan Laqui,walked (3-2 BSBSBFFB).
Jack Burke,flied out to cf (1-0 B).
Brendan Laqui,stole second.
Adam Hicks,walked (3-0 BBBB).
Jack Pistner,"singled to left field (0-0); A. Hicks advanced to second; B. Laqui advanced to third, out at home rf to c."
Alexey Stout,"grounded out to 3b, SAC (0-0); K. Clausius advanced to second."
Robert Murphy,struck out looking (1-2 BSSS).
Brendan Laqui,"struck out swinging, reached first on a passed ball (2-2 BSBSS)."
Jack Burke,grounded into double play 3b to 1b; D. Preziuso advanced to second; B. Laqui out on the play.
Adam Hicks,fouled out to c (1-1 BS).
Matthew Vivona,to 3b for M. Levant.
Jack Pistner,grounded out to 1b unassisted (0-0).
Alexey Stout,grounded out to 3b (3-2 BBSFB).
Robert Murphy,struck out swinging (2-1 BSB).
Matthew Vivona,doubled down the lf line (1-2 BFS).
Brendan Laqui,hit by pitch (1-1 SB).
Jack Burke,grounded out to ss (1-2 FKB).
Matt Nichols,to cf for J. Burke.
Adam Hicks,to rf.
Adam Hicks,grounded out to 2b (1-0 B).
Jack Pistner,struck out swinging (1-2 SFBS).
James Weedon,to p for Wilkie-Visci.
Alexey Stout,struck out swinging (2-2 BFBSS).
Robert Murphy,walked (3-2 BBBSSB).
Matthew Vivona,struck out swinging (3-2 BSBFFFFFBS).
Robert Murphy,"out at second c to 2b, caught stealing."
Tyler Lizell,to p for J. Weedon.
Jack Amirata,struck out looking.
Adam Hicks,struck out swinging.
Jack Pistner,flied out to lf.
Connor Stewart,to p for P. Clementi.
Matthew Vivona,struck out swinging.
Robert Murphy,flied out to cf.
Alexey Stout,flied out to rf.
Jack Amirata,walked; B. Anderson advanced to second.
Adam Hicks,grounded out to 2b.
Jack Pistner,walked.
Matthew Vivona,popped up to 1b.
Robert Murphy,"doubled to right center, RBI; J. Pistner scored."
Jack Burke,pinch hit for A. Stout.
Jack Burke,popped up to c.
Jack Amirata,"tripled to right center, RBI; D. Preziuso scored."
Adam Hicks,"doubled to right field, RBI; J. Amirata scored."
Jack Pistner,"homered to center field, 2 RBI; A. Hicks scored."
Matthew Vivona,grounded out to 3b.
Robert Murphy,flied out to rf.
Jack Amirata,"singled to left field, RBI; W. Bercaw scored."
Adam Hicks,"doubled to center field, RBI; J. Amirata scored."
Jack Pistner,"tripled to right field, RBI; A. Hicks scored."
James Weedon,to p for E. Ofeck.
Matthew Vivona,grounded out to ss.
Robert Murphy,singled to right field.
Jack Amirata,popped up to c.
Adam Hicks,singled to left field.
Jack Pistner,walked; A. Hicks advanced to second.
Robert Murphy,struck out looking.
Matt Nichols,to cf for J. Amirata.
Adam Hicks,to rf.
Tyler Lizell,to p for J. Weedon.
Adam Hicks,singled up the middle (2-0 BB).
Adam Hicks,advanced to second on a balk.
Jack Pistner,grounded out to p (1-2 BKF); A. Hicks advanced to third.
Robert Murphy,"singled to third base, bunt (0-0); E. Ajewole advanced to second; T. Neels advanced to third."
Matthew Vivona,popped up to ss (0-1 K).
Brendan Laqui,"singled through the left side, 2 RBI (3-2 BKBSB); R. Murphy advanced to second; E. Ajewole scored; T. Neels scored."
Adam Hicks,flied out to cf (1-0 B).
Jack Pistner,struck out swinging (1-2 KFBFS).
Robert Murphy,grounded out to 2b (2-1 KBB); E. Ajewole advanced to third.
Matthew Vivona,walked (3-1 BBBKB).
Brendan Laqui,struck out swinging (0-2 KFS).
Adam Hicks,grounded out to 3b (1-2 KFB).
Jack Pistner,grounded out to 2b (1-0 B).
Jack Burke,pinch hit for K. Clausius.
Jack Burke,walked (3-1 KBBBB).
Robert Murphy,singled to left field (0-0).
Robert Murphy,stole second.
Matthew Vivona,popped up to ss (2-2 KBKB).
Ryan Wootten,to p for C. Wong.
Brendan Laqui,"reached on a throwing error by 3b, advanced to second (1-1 BK)."
Brendan Laqui,stole third.
Adam Hicks,flied out to rf (3-1 BBBK).
Jack Pistner,reached on a fielding error by 1b (3-2 BKKBB).
Robert Murphy,fouled out to 3b (0-1 K).
Alexey Stout,pinch hit for M. Vivona.
Alexey Stout,"doubled to left center, RBI (1-1 KB); E. Ajewole scored."
Brendan Laqui,struck out swinging (1-2 SBKFS).
Alexey Stout,to 3b.
Brendan Trotta,to p for R. Wootten.
Jack Passeck,to p for B. Trotta.
Adam Hicks,hit by pitch (0-1 F).
Jack Pistner,walked (3-0 BBBB); A. Hicks advanced to second; D. Preziuso advanced to third.
Matt Nichols,pinch ran for T. Neels.
Matt Nichols,stole second.
Robert Murphy,flied out to cf (0-1 K).
Adam Hicks,to rf.
Jack Pistner,to 1b.
Matt Nichols,to cf.
Alexey Stout,to 2b.
Tyler Lizell,to p for J. Passeck.
Jack Burke,hit by pitch (0-0); D. Preziuso advanced to second.
Jack Burke,stole second.
Adam Hicks,fouled out to 3b (3-1 BKBB).
Jack Pistner,lined out to ss (3-2 KBBKBF).
Robert Murphy,lined out to 1b (2-2 BKKB).
Alexey Stout,singled down the lf line (0-0).
Jack Burke,struck out swinging (2-2 BKFBS).
Adam Hicks,"walked, RBI (3-1 BBBKB); W. Bercaw advanced to second; B. Anderson advanced to third; A. Stout scored."
Jack Pistner,"walked, RBI (3-1 BBKBB); A. Hicks advanced to second; W. Bercaw advanced to third; B. Anderson scored."
Robert Murphy,struck out looking (2-2 KBKBK).
Jack Passeck,to p for P. Clementi.
Alexey Stout,struck out swinging (3-2 BBKBKFS).
Jack Burke,"reached on a fielding error by 3b, advanced to second on an error by 3b (0-0); W. Bercaw advanced to second, advanced to third on the error; B. Anderson advanced to third, scored on the error, unearned."
Adam Hicks,flied out to lf (1-1 BK).
Connor Stewart,to p for J. Passeck.
Jack Pistner,singled up the middle (0-0).
Jack Pistner,advanced to second on a wild pitch.
Robert Murphy,singled to right field (2-1 BBK); J. Pistner advanced to third.
Alexey Stout,walked (3-1 BBKBB); R. Murphy advanced to second.
Jack Burke,"singled to center field, 2 RBI (3-2 BKFBBF); W. Bercaw scored; B. Anderson scored."
Jack Burke,stole second.
Adam Hicks,struck out swinging (0-2 KKS).
Jack Pistner,singled to shortstop (0-1 K).
Robert Murphy,reached on a fielder's choice (1-2 KKB); E. Ajewole advanced to second; J. Pistner out at third 3b unassisted.
Alexey Stout,reached on a fielder's choice (1-2 SFFB); R. Murphy advanced to second; E. Ajewole out at third 3b unassisted.
Jack Burke,"flied out to rf, SF, RBI (3-2 BBBKF); W. Bercaw scored."
Adam Hicks,struck out swinging (1-2 KKBS).
Matt Nichols,to cf for J. Burke.
Adam Hicks,to rf.
James Weedon,to p for E. Ofeck.
Jack Pistner,flied out to rf (1-2 FKFFB).
Robert Murphy,singled down the rf line (1-0 B); E. Ajewole advanced to third.
Alexey Stout,"grounded out to 1b unassisted, SAC, RBI (0-0); R. Murphy advanced to second; E. Ajewole scored."
Matthew Vivona,to 3b for T. Neels.
Matt Nichols,walked (3-0 BBBB).
Matt Nichols,advanced to second on a wild pitch.
Adam Hicks,struck out swinging (2-2 BFBFS).
Jack Pistner,walked (3-1 BKBBB).
Sean Stites,pinch ran for J. Pistner.
Robert Murphy,struck out swinging (0-2 KKFS).
Alexey Stout,walked (3-1 BKBBB).
Matthew Vivona,"flied out to rf, SF, RBI (3-2 BKFBB); A. Stout scored."
Jack Burke,"flied out to cf, SF, RBI (1-2 SSB); D. Preziuso scored."
Jack Pistner,struck out swinging (0-2 SSS).
Adam Hicks,struck out looking (2-2 SBFBS).
Robert Murphy,singled up the middle (0-1 S).
Robert Murphy,stole second.
Alexey Stout,walked (3-2 BBFSFBB).
Brendan Laqui,reached on a fielder's choice to third base; A. Stout advanced to second; R. Murphy out at third 3b unassisted.
Jack Burke,flied out to rf (2-0 BB).
Jack Pistner,lined out to 1b (2-0 BB).
Adam Hicks,"reached on a fielder's choice (1-1 SB); E. Ajewole advanced to second on an error by 2b, advanced to third on the throw."
Robert Murphy,"singled to pitcher, bunt, RBI (0-1 S); A. Hicks advanced to second; E. Ajewole scored, unearned."
Robert Murphy,stole second; A. Hicks stole third.
Alexey Stout,walked (3-2 BSSBBB).
Brendan Laqui,"reached on an error by ss, RBI (1-2 SBSFF); A. Stout advanced to second; R. Murphy scored, unearned; A. Hicks scored, unearned."
Jack Burke,flied out to rf (0-0).
Jack Pistner,walked (3-2 BSBFBB).
Adam Hicks,"doubled down the lf line, 2 RBI (1-2 SSB); E. Ajewole advanced to third; J. Pistner scored, unearned; W. Bercaw scored, unearned."
Robert Murphy,walked (3-1 SBBBB).
Robert Murphy,"advanced to second on a wild pitch; A. Hicks advanced to third on a wild pitch; E. Ajewole scored on a wild pitch, unearned."
Alexey Stout,struck out looking (2-2 FBBSS).
Matt Nichols,to cf for J. Burke.
Adam Hicks,to rf.
Brendan Laqui,flied out to lf (1-2 SSFB).
Matt Nichols,reached on a fielder's choice (3-2 BBSSB); D. Preziuso out at second ss to 2b; W. Bercaw advanced to third.
Jack Pistner,struck out looking (1-2 BFSS).
Adam Hicks,grounded out to 1b unassisted (0-0); E. Ajewole advanced to second.
Robert Murphy,flied out to lf (1-1 BS).
Alexey Stout,hit by pitch (0-1 S).
Brendan Laqui,reached on a fielder's choice to shortstop (0-1 S); A. Stout out at second ss to 2b.
Matt Nichols,singled to left field (0-0); D. Preziuso advanced to third.
Jack Pistner,"reached on a fielder's choice to shortstop, RBI (2-1 BBS); M. Nichols out at second ss to 2b; D. Preziuso scored."
Matt Carr,pinch ran for J. Pistner.
Adam Hicks,reached on a fielder's choice to shortstop; M. Carr out at second ss to 2b.
Robert Murphy,flied out to cf (2-2 BSBFF).
Alexey Stout,popped up to ss (0-1 S).
Brendan Laqui,hit by pitch (0-0).
Brendan Laqui,stole second.
Matt Nichols,fouled out to 1b (1-1 SB).
Jack Amirata,pinch hit for E. Ajewole.
Jack Amirata,popped up to ss (3-2 SBBBS).
Alexey Stout,walked (3-2 SSBBBB).
Liam Gregory,pinch hit for D. Preziuso.
Liam Gregory,"singled to right field, RBI (0-0); W. Bercaw advanced to second; K. Crozier advanced to third; A. Stout scored."
Matt Nichols,"singled down the lf line, RBI (2-0 BB); L. Gregory advanced to second; W. Bercaw scored, scored on an error by lf, unearned; K. Crozier scored."
Brett Townsley,to p for L. Gregory.
Alexey Stout,to ss.
Jack Amirata,to lf.
Jack Burke,singled to third base (1-1 FB); D. Preziuso advanced to third.
Jack Pistner,"singled to right field, RBI (0-0); J. Burke advanced to second; D. Preziuso scored."
Jack Pistner,stole second; J. Burke stole third.
Robert Murphy,"walked, RBI (3-1 BBBKB); T. Neels advanced to second; J. Pistner advanced to third; J. Burke scored."
Matthew Vivona,singled to shortstop (0-1 K); R. Murphy advanced to second; T. Neels advanced to third.
Robert Murphy,scored on a wild pitch.
Jack Burke,walked (3-2 BBSBSB).
Jack Burke,stole second.
Jack Burke,advanced to third on a passed ball.
Jack Pistner,"tripled down the rf line, RBI (1-0 B); J. Burke scored."
Jack Pistner,scored on a wild pitch.
Robert Murphy,walked (3-2 KBKBBB).
Matthew Vivona,"walked, RBI (3-2 BBKFBFB); DelGuercio advanced to second; R. Murphy advanced to third; T. Neels scored."
Jack Burke,struck out swinging (0-2 KFS).
Jack Pistner,hit by pitch (0-0); D. Preziuso advanced to second.
Robert Murphy,flied out to lf (0-0).
Matthew Vivona,hit by pitch (0-0); DelGuercio advanced to second; B. Anderson advanced to third.
Jack Amirata,to lf for J. Burke.
Jack Amirata,"flied out to cf, SF, RBI (2-1 BBF); DelGuercio scored, unearned."
Jack Pistner,flied out to lf (1-0 B).
Tyler Hillson,to p for Francesconi.
Robert Murphy,"singled to right field, RBI (1-2 BKK); T. Neels scored."
Matt Nichols,to cf for D. Preziuso.
Matt Nichols,popped up to ss (2-1 SBB).
Liam Gregory,to lf for J. Amirata.
Jack Amirata,to lf for L. Gregory.
Jack Amirata,singled to right center (0-0).
Jack Pistner,lined out to ss (3-2 KBBBK).
Liam Gregory,to rf for T. Neels.
Jack Amirata,stole second.
Liam Gregory,walked (3-2 BBKKBB).
Robert Murphy,flied out to rf (1-2 BKF).
Matt Nichols,walked (3-2 BBKSFBB).
Jack Amirata,singled to left field (2-0 BB); M. Nichols advanced to second; W. Bercaw advanced to third.
Jack Pistner,"flied out to rf, SF, RBI (1-1 BK); W. Bercaw scored, unearned."
Liam Gregory,struck out swinging (1-2 BSKFS).
Robert Murphy,struck out looking (1-2 FFBK).
Bruno Spadafora,to p for E. Ofeck.
Alexey Stout,to ss for M. Kim.
James Weedon,to p for B. Spadafora.
Brendan Laqui,to c for D. Ed.
Brendan Laqui,walked (3-2 KBBFBB).
Alexey Stout,"doubled down the lf line, RBI (3-2 BBBKK); B. Laqui scored."
Matt Nichols,walked (3-1 BSBBB).
Matt Nichols,advanced to second; W. Bercaw scored on a passed ball.
Jack Amirata,walked (3-1 KBBBB).
Jack Amirata,advanced to second; M. Nichols advanced to third on a wild pitch.
Jack Pistner,walked (3-0 BBBB).
Adam Hicks,to rf for L. Gregory.
Adam Hicks,"walked, RBI (3-2 FSBFFBBB); J. Pistner advanced to second; J. Amirata advanced to third; M. Nichols scored."
Jack Amirata,"scored on an error by ss, unearned."
Robert Murphy,singled to left field (0-2 KK); A. Hicks advanced to second; J. Pistner advanced to third.
Brendan Laqui,"walked, RBI (3-1 BBBKB); R. Murphy advanced to second; A. Hicks advanced to third; J. Pistner scored."
Alexey Stout,walked (3-0 BBBB); B. Laqui advanced to second; R. Murphy advanced to third.
Matt Nichols,walked (3-2 BBFBFB); W. Bercaw advanced to second.
Jack Amirata,flied out to rf.
Jack Pistner,walked (3-2 FBBKBB).
Robert Murphy,popped up to ss (1-1 FB).
Adam Hicks,singled to center field (2-0 BB).
Alexey Stout,"singled to center field, advanced to second; A. Hicks advanced to third."
Brendan Laqui,struck out swinging (0-2 KKS).
Matthew Vivona,flied out to lf (0-1 K).
Jack Pistner,"homered to right field, 3 RBI (3-2 KBKBB); T. Neels scored; D. Preziuso scored."
Robert Murphy,"grounded out to c, bunt (1-1 BK)."
Adam Hicks,popped up to 3b (0-1 K).
Alexey Stout,struck out looking (1-2 BKFK).
Brendan Laqui,popped up to ss (1-0 B).
Matthew Vivona,grounded out to ss (1-0 B).
